epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_bleu_score
1,2.562749439389784,1.7735540568828583,0.753476064424668,0.9029920692141312,0.7690689203859868
2,2.020666429014198,1.7221914167915071,0.8326513677834559,0.9128935352078827,0.8222727144074358
3,1.9013989449895337,1.7029962220362254,0.8591490451186085,0.9168108627733718,0.8304894378042444
4,1.8590533428345601,1.701150078858648,0.8692427367013607,0.9174597452535448,0.8329196500813045
5,1.8286263777332465,1.6937804796866007,0.8765028984961708,0.9194304253785148,0.8373788476552452
6,1.8008750857875533,1.6960324900490897,0.8838192642487144,0.9196827685652488,0.8387678491999271
7,1.7595506476713076,1.6998017877340317,0.8967117470108464,0.9200552751742369,0.8379814166936329
8,1.7508732402590814,1.7002991225038255,0.8985607742624034,0.9192982456140351,0.8375056666489598
9,1.7682170770105399,1.6991372789655412,0.8925752601584765,0.9192141312184571,0.8374728652521644
10,1.7194327018543685,1.6991372789655412,0.9089588175350956,0.9192141312184571,0.8374728652521644
